338.454,435.901,
328.014,249.708,
330.624,129.639,
314.963,70.4751,
408.929,189.674,
448.952,295.821,
473.314,410.669,
488.105,440.252,
281.03,209.685,
274.94,315.833,
248.838,357.596,
221.866,389.788,
397.619,427.201,
348.025,608.174,
299.301,821.339,
270.589,785.666,
301.912,445.472,
401.969,620.354,
475.054,796.977,
434.161,815.248,
326.273,180.103,
488.975,467.223,
464.613,441.122,
231.437,397.619,
247.098,388.918,
1684.31,1791.31,
1759.61,1846.79,
1735.83,1914.17,
1644.68,1902.28,
1565.42,1791.31,
1355.37,1636.75,
1093.81,1601.08,
376.492,1660.53,
863.951,1704.12,
499.348,1280.07,
336.862,951.138,
760.911,729.206,
1153.26,891.692,
1359.34,800.542,
1640.71,661.834,
1640.71,562.757,
1478.23,435.938,
1359.34,364.603,
1121.55,305.157,
1066.07,305.157,
875.84,336.862,
856.025,202.117,
1315.74,281.378,
1521.82,281.378,
1858.68,384.418,
233.326,294.22,
249.605,210.416,
282.162,110.333,
297.235,59.6881,
309.293,153.139,
393.701,172.432,
359.335,120.582,
346.071,98.2744,
206.798,135.655,
181.476,221.871,
163.992,296.632,
147.713,312.308,
265.884,302.661,
261.663,424.449,
259.854,567.942,
286.985,572.765,
189.917,297.235,
204.99,428.067,
167.609,538.399,
194.137,570.956,
264.678,137.464,
341.247,89.2308,
326.175,85.6133,
136.861,321.954,
135.655,332.204,
169.683,119.91,
169.683,89.5928,
166.968,32.1267,
162.896,14.9321,
194.57,58.8235,
204.977,96.8326,
189.593,117.195,
189.593,123.077,
187.33,124.434,
147.511,54.2986,
145.249,85.0679,
139.367,119.457,
139.367,128.507,
143.439,132.579,
153.394,124.434,
157.466,181.448,
163.801,231.674,
161.086,249.321,
180.995,123.982,
178.281,175.113,
173.756,229.412,
179.638,221.719,
167.873,47.0588,
183.258,119.457,
145.249,127.602,
119.077,486,
88.6154,348.231,
75.4615,196.615,
92.0769,134.308,
115.615,256.846,
164.077,319.846,
243.692,299.077,
276.923,299.077,
25.6154,281.769,
26.3077,413.308,
44.3077,522.692,
39.4615,574.615,
152.308,486.692,
148.846,577.385,
137.769,666,
141.231,679.154,
78.2308,491.538,
105.923,621.692,
113.538,670.154,
119.769,677.077,
73.3846,252,
284.538,288.692,
